,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,The Mediterranean fruit fly lays eggs that hatch into maggots inside fruit. Officials plan to halt population growth by dropping millions of sterile male flies over the affected region.,"The winged creatures were squat, striped and just a quarter-inch in size. But the three Mediterranean fruit flies prompted officials to quarantine the produce of an entire Los Angeles neighborhood. They had a plan to stop the spread: more fruit flies — millions of them.",2023-11-01T00:09:56+0000,article,Science,News,Fruit Flies Are Invading Los Angeles. The Solution? More Fruit Flies.,Fruit Flies;Pesticides;Agriculture and Farming;Fruit;Vegetables;AGRICULTURE DEPARTMENT;California;Los Angeles (Calif)
1,A gateway to the Gaza Strip has allowed some vital aid in but has yet to let anyone get out.,"On the far side of the Sinai Peninsula, about a six-hour drive from Cairo through a largely empty Egyptian desert, the Rafah crossing is a dun-colored expanse of sand, concrete and not much else. Isolated from the rest of the Egypt by not only distance but also heavy military restriction, Rafah can feel as distant from world events as any place on the planet. ",2023-11-01T00:42:01+0000,article,World,News,"The fate of many Gazans lies with the Rafah crossing, and Egypt.",Israel-Gaza War (2023- );Sinai Peninsula (Egypt);Egypt;Rafah (Gaza Strip);Gaza Strip;Hamas
2,The Oct. 7 Hamas assault on Israel and a surge in acts of antisemitism have awakened a repressed horror in Jewish populations across the continent.,"Perhaps not since the Holocaust, which saw the annihilation of about two-thirds of Europe’s Jewish community, have the Jews of Europe lived in an atmosphere of fear so acute that it feels like a fundamental shift in the terms of their existence.",2023-11-01T00:46:02+0000,article,World,News,"For Europe’s Jews, a World of Fear","Europe;Jews and Judaism;Anti-Semitism;Hate Crimes;Fear (Emotion);Israel-Gaza War (2023- );Israel;Gaza Strip;West Bank;International Relations;Politics and Government;Holocaust and the Nazi Era;Muslims and Islam;Palestinians;Terrorism;Demonstrations, Protests and Riots;Threats and Threatening Messages"
3,"Ina Kenoyer, of Minot, N.D., killed her boyfriend with antifreeze after learning he was set to inherit $30 million and planned to leave her, the authorities said.",A North Dakota woman has been accused of fatally poisoning her boyfriend with antifreeze in what the authorities say may have been a plot to claim part of his $30 million inheritance.,2023-11-01T01:05:50+0000,article,U.S.,News,Woman Is Accused of Fatally Poisoning Boyfriend With Antifreeze for Inheritance,"Murders, Attempted Murders and Homicides;Poisoning and Poisons;Domestic Violence;Wills and Estates;Minot (ND)"
4,His performance as a character sometimes called “the dark prince” won him a Daytime Emmy Award in 2016.,"Tyler Christopher, an actor best known for his long-running role as Nikolas Cassadine on the soap opera “General Hospital,” died on Tuesday in San Diego. He was 50.",2023-11-01T01:17:05+0000,article,Arts,Obituary (Obit),"Tyler Christopher, Actor Best Known for ‘General Hospital,’ Dies at 50","Christopher, Tyler (1972-2023);Deaths (Obituaries);Actors and Actresses;Soap Operas;Days of Our Lives (TV Program);General Hospital (TV Program)"
5,Steve Weyer makes his New York Times debut.,Jump to: Today’s Theme | Tricky Clues,2023-11-01T02:00:07+0000,article,Crosswords & Games,News,Sites of Some Docs,"Crossword Puzzles;Weyer, Steve (Crossword Constructor)"
6,"Corrections that appeared in print on Wednesday, Nov. 1, 2023.","An Inside the Times article on Oct. 19 about street parking in New York City misstated the number of people who flow through the southern half of Manhattan each weekday. Before the pandemic, 7.7 million people flowed through the area on weekdays; not all of them were commuters.",2023-11-01T02:59:20+0000,article,Corrections,Correction,"Corrections: Nov. 1, 2023",
7,The model and television host dressed as a giant peacock with some help from Cirque du Soleil.,"Heidi Klum spread her wings this Halloween. Well, technically, several Cirque du Soleil acrobats spread them for her.",2023-11-01T03:01:29+0000,article,Style,News,It’s a Bird. It’s a Dame. It’s Heidi Klum’s Halloween Costume.,"Circuses;Halloween;Models (Professional);Klum, Heidi;Cirque du Soleil;Top Model;Peacocks and Peahens;Performance Art;ACROBATS AND ACROBATICS"
8,"Migrant workers, who moved from China’s villages to its big cities, were a secret weapon building the economy. Now many see few options.","When Zhang left his village in northeastern China a decade ago to work as a welder in a big city, jobs were plentiful. He earned about $50 a day and managed to save most of it.",2023-11-01T04:01:12+0000,article,Business Day,News,They Propelled China’s Rise. Now They Have Nothing to Fall Back On.,Coronavirus (2019-nCoV);Labor and Jobs;Migrant Labor (Non-Agriculture);Economic Conditions and Trends;Xi Jinping;China
9,"The party was riding high when it entered the government two years ago. Now it is stumbling, blamed for driving voters to the far right.","Germany’s Green Party entered the government in 2021 with the best election showing of its history, establishing itself for the first time as a true mainstream party with the potential of one day even yielding a chancellor.",2023-11-01T04:01:20+0000,article,World,News,How Germany’s Greens Lost Their Luster,"Germany;Green Party (Germany);Politics and Government;Polls and Public Opinion;Elections;Right-Wing Extremism and Alt-Right;Alternative and Renewable Energy;Heating;Baerbock, Annalena;Habeck, Robert;Scholz, Olaf (1958- );Social Democratic Party (Germany);Alternative for Germany"
10,Israel strikes a crowded area in Gaza.,"Israeli airstrikes hit a densely populated district in Gaza, leaving behind a massive crater and widespread damage. Israel said the targets were Hamas militants, including a commander who helped plan the Oct. 7 surprise attack on Israel that killed 1,400 people.",2023-11-01T04:02:47+0000,article,Briefing,briefing,Wednesday Briefing,
11,Giorgia Meloni’s breakup offers a window onto the nature of power in Italy today.,"Giorgia Meloni broke the glass ceiling again. After becoming the first woman and the first post-fascist leader to be prime minister of Italy, she recently became the first head of government to announce on social media that she had dumped her boyfriend.",2023-11-01T05:00:08+0000,article,Opinion,Op-Ed,Italy’s Prime Minister Broke Up With Her Boyfriend. It’s Actually Quite a Big Deal.,"Italy;Politics and Government;Meloni, Giorgia (1977- );Giambruno, Andrea;Berlusconi, Silvio;Mediaset;Forza Italia;Brothers of Italy (Italian Political Party);Conflicts of Interest;Dating and Relationships"
12,"The storm was drifting north toward the Central American country early Wednesday. It was forecast to begin moving west, farther into the Pacific Ocean, later in the day.","Heavy rains linked to Tropical Storm Pilar have killed at least one person in El Salvador, an official there said early Wednesday, as parts of Central America faced heavy flooding.",2023-11-01T05:02:22+0000,article,World,News,Tropical Storm Pilar Kills at Least 1 in El Salvador,Floods;Rain;Hurricanes and Tropical Storms;Central America;El Salvador;Honduras;Nicaragua;Costa Rica
13,This word has appeared in 59 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word stilted has appeared in 59 articles on NYTimes.com in the past year, including on March 11 in “The Radical Act of Eating With Strangers” by Setareh Baig:",2023-11-01T06:00:02+0000,article,The Learning Network,News,Word of the Day: stilted,
