,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
0,But the hearing officer said the State Board of Elections should let the courts decide whether Mr. Trump’s conduct disqualified him from the ballot.,A former Republican judge appointed to hear arguments on whether to disqualify former President Donald J. Trump from the Illinois primary ballot said on Sunday that he believed Mr. Trump engaged in insurrection by attempting to remain in office after the 2020 election.,2024-01-29T00:29:00+0000,article,U.S.,News,"Illinois Hearing Officer, Ex-G.O.P. Judge, Says Trump Engaged in Insurrection","Trump, Donald J;Illinois;Presidential Election of 2024;Erickson, Clark E (1948- );Primaries and Caucuses;States (US);Storming of the US Capitol (Jan, 2021);Fourteenth Amendment (US Constitution);Constitution (US);Republican Party"
1,Israeli officials have presented evidence they say ties workers at a Palestinian aid agency in Gaza to violence during the Hamas-led attack on Israel.,"One is accused of kidnapping a woman. Another is said to have handed out ammunition. A third was described as taking part in the massacre at a kibbutz where 97 people died. And all were said to be employees of the United Nations aid agency that schools, shelters and feeds hundreds of thousands of Palestinians in the Gaza Strip.",2024-01-29T01:36:39+0000,article,World,News,Details Emerge on U.N. Workers Accused of Aiding Hamas Raid,Israel-Gaza War (2023- );Palestinians;United Nations Relief and Works Agency;Hamas;Israel;Gaza Strip;International Relations
2,Kelli O’Hara and Brian d’Arcy James are superb as a midcentury-modern couple free-falling into addiction in Craig Lucas and Adam Guettel’s musical.,"Seldom have a pair of alcoholics looked as glamorous as they do in Craig Lucas and Adam Guettel’s bruised romance of a Broadway musical, “Days of Wine and Roses,” starring Kelli O’Hara and Brian d’Arcy James as midcentury-modern Manhattan lovers free-falling all the way to hell, drinks in hand.",2024-01-29T02:00:08+0000,article,Theater,Review,‘Days of Wine and Roses’ Review: Romance on the Rocks,"Theater;Theater (Broadway);Studio 54;O'Hara, Kelli;James, Brian D'Arcy;Greif, Michael;Guettel, Adam;Lucas, Craig;Days of Wine and Roses (Play)"
3,"After multiple delays and even a few faint glimmers of hope, a Hong Kong court has sounded the death knell for what was once China’s biggest real estate firm.","Months after China Evergrande ran out of cash and defaulted in 2021, investors around the world scooped up the property developer’s discounted i.o.u.’s, betting that the Chinese government would eventually step in to bail it out.",2024-01-29T02:16:39+0000,article,Business Day,News,"Evergrande Will Be Dismantled, a ‘Big Bang’ End to Years of Stumbles",Real Estate (Commercial);Foreign Investments;International Relations;Stocks and Bonds;Decisions and Verdicts;Politics and Government;Real Estate and Housing (Residential);Economic Conditions and Trends;Building (Construction);China Evergrande Group;Hong Kong;China;Bankruptcies
4,Danvers and Navarro both must face some cold realities about who and what they represent in a community being poisoned by its biggest employer.,"In the first two episodes of “Night Country,” we knew Annie Kowtok as a dead person, a young Inupiaq activist who was stabbed 32 times and whose memory haunts the living every bit as much as the hallucinations that seem to slip in their minds during permanent darkness do.",2024-01-29T03:01:07+0000,article,Arts,Review,"‘True Detective’ Season 4, Episode 3 Recap: Toxicity",True Detective (TV Program);Television
5,Three U.S. service members were killed in Jordan.,Three U.S. service members were killed in Jordan yesterday and at least 34 others were injured in what the U.S. said was a drone strike from an Iran-backed militia. The deaths were the first U.S. military fatalities from hostile fire in the turmoil spilling over from Israel’s war with Hamas in Gaza.,2024-01-29T05:04:05+0000,article,Briefing,briefing,Monday Briefing,
6,"The Bravo hit returns for an 11th season, and the Recording Academy hands out awards.","Between network, cable and streaming, the modern television landscape is a vast one. Here are some of the shows, specials and movies coming to TV this week, Jan. 29-Feb. 4. Details and times are subject to change.",2024-01-29T06:00:09+0000,article,Arts,News,What’s on TV This Week: ‘Vanderpump Rules’ and the Grammys,Television;Movies;Grammy Awards;Vanderpump Rules (TV Program);Curb Your Enthusiasm (TV Program)
7,This word has appeared in 19 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word connoisseurship has appeared in 19 articles on NYTimes.com in the past year, including on Dec. 20 in “Dick Wolf, ‘Law & Order’ Creator, Gives 200 Artworks to the Met Museum” by Zachary Small:",2024-01-29T07:00:02+0000,article,The Learning Network,News,Word of the Day: connoisseurship,
8,"Quotation of the Day for Tuesday, January 30, 2024.",“Every warning light should be blinking red.”,2024-01-29T07:05:03+0000,article,Corrections,Quote,Quotation of the Day: A Grim LookAt the State of the News,
9,"No corrections appeared in print on Monday, Jan. 29, 2024.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.",2024-01-29T07:07:04+0000,article,Corrections,News,"No Corrections: Jan. 29, 2024",
